Customer ID,Purchase Date,Month,Product Category,Product Price ,Quantity,total purchase,Payment Method,Customer Age,Returns,Customer Name,Gender,Churn
16006,1-Jan-20,1,Elec,125,1,125,Credit Card,37,1,Brian Williams,Female,0
22476,1-Jan-20,1,Clothing,145,2,290,PayPal,67,0,Brian Mitchell,Male,0
7685,1-Jan-20,1,Elec,390,4,1560,Cash,47,0,Zachary Morgan,Female,0
45328,1-Jan-20,1,Books,180,3,540,Cash,31,0,Alyssa Hardy,Female,0
41345,1-Jan-20,1,Books,302,5,1510,Credit Card,55,1,Leonard Francis,Male,0
25963,1-Jan-20,1,Home,118,3,354,Cash,19,0,Gabrielle Walters,Male,0
38284,1-Jan-20,1,Clothing,82,5,410,Credit Card,36,0,Ashley Johnson MD,Male,0
19770,1-Jan-20,1,Elec,266,3,798,Crypto,34,0,Richard Lindsey,Female,1
35137,1-Jan-20,1,Books,163,5,815,PayPal,58,0,Joseph Miller,Female,0
3752,1-Jan-20,1,Books,156,4,624,Credit Card,18,1,David Allen,Female,0
33640,1-Jan-20,1,Books,463,3,1389,PayPal,56,0,Troy Nelson,Male,1
25004,1-Jan-20,1,Home,415,4,1660,Credit Card,25,1,Rodney Adams,Male,0
48176,1-Jan-20,1,Elec,144,3,432,PayPal,21,0,Natasha Hawkins,Female,0
30741,1-Jan-20,1,Clothing,229,2,458,Credit Card,24,1,Terri Rodriguez,Male,0
5363,1-Jan-20,1,Clothing,287,5,1435,Credit Card,20,0,Rachel Smith,Male,0
34909,1-Jan-20,1,Books,230,4,920,PayPal,51,1,Richard Larsen,Female,1
6278,1-Jan-20,1,Clothing,281,5,1405,PayPal,23,0,Cheryl Vargas,Female,1
34109,1-Jan-20,1,Clothing,69,5,345,Credit Card,25,1,Ashley Gonzalez,Female,0
4584,1-Jan-20,1,Clothing,407,4,1628,Cash,66,0,Adam Anderson,Male,0
38480,1-Jan-20,1,Books,414,2,828,Cash,69,0,Joseph Perkins,Female,0
36416,1-Jan-20,1,Home,421,4,1684,Credit Card,34,0,Justin Allen,Male,0
12631,1-Jan-20,1,Books,238,3,714,PayPal,23,0,Samantha Gibbs,Male,0
45243,1-Jan-20,1,Elec,50,2,100,PayPal,70,0,Gina Robinson,Female,0
15777,1-Jan-20,1,Books,150,3,450,PayPal,28,0,Jose Cooper,Male,0
41409,1-Jan-20,1,Clothing,466,4,1864,Credit Card,32,0,Raymond Fuller,Female,0
16692,1-Jan-20,1,Home,48,5,240,PayPal,39,1,Martha Glover,Female,0
26943,1-Jan-20,1,Home,462,2,924,Credit Card,50,0,Ryan Thompson,Male,0
16571,1-Jan-20,1,Home,282,3,846,PayPal,70,0,Kevin Ortiz,Female,1
15834,1-Jan-20,1,Home,385,1,385,Cash,69,0,Ann Little,Male,0
15913,1-Jan-20,1,Books,164,3,492,Crypto,43,0,Larry Bailey,Male,0
14360,1-Jan-20,1,Clothing,466,1,466,Credit Card,51,0,Emily Hendrix,Female,0
30724,1-Jan-20,1,Elec,275,4,1100,Credit Card,28,1,Jason Wilson,Female,0
6679,1-Jan-20,1,Books,134,1,134,Credit Card,60,1,Alyssa Anderson,Male,1
2576,1-Jan-20,1,Elec,355,5,1775,Credit Card,66,0,Kenneth Terry,Female,0
38571,1-Jan-20,1,Home,309,2,618,PayPal,18,1,Heidi Johnson,Male,0
44325,1-Jan-20,1,Elec,288,4,1152,Cash,29,1,Kathy Wong,Female,1
3295,1-Jan-20,1,Books,247,3,741,Cash,47,1,Brian Wu,Male,0
1107,1-Jan-20,1,Home,187,5,935,PayPal,19,1,Daniel Wallace,Female,1
38924,1-Jan-20,1,Books,50,3,150,Cash,49,0,Juan Spencer,Female,0
